Name,Address,City,Rabbi,Affiliation,Phone,Email,Website,Social_Media,Shacharit,Mincha,Maariv,Shabbat,Sunday,Weekday,Kosher_Info,Parking,Accessibility,Additional_Info,URL,Data_Quality_Score,Is_Chabad,Is_Young_Israel,Is_Sephardic,Has_Address,State,Has_Zip
Hanefesh Haelokit,"5650 Stirling Rd, Hollywood, FL 33021, USA",441 Corridor,Rabbi  Israel Nasrati,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/20136/hanefesh-haelokit,3,No,No,No,Yes,FL,No
Shalom Rav,"42 SW 54th Ct, Fort Lauderdale, FL 33314, USA",441 Corridor,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24653/shalom-rav,2,No,No,No,Yes,FL,No
Young Israel Of Hollywood-Fort Lauderdale,"3291 Stirling Rd, Fort Lauderdale, FL 33312, USA",Arapahoe Farms,Rabbi  Yosef Weinstock,Modern Orthodox,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/1170/young-israel-of-hollywood-fort-lauderdale,3,No,Yes,No,Yes,FL,No
Etz Chaim Synagogue,"10167 San Jose Blvd, Jacksonville, FL 32257, USA",Arrowhead,Rabbi  Yaakov Fisch,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/742/etz-chaim-synagogue,3,No,No,No,Yes,FL,No
Jacksonville Kollel,"3651 Crown Point Rd, Jacksonville, FL 32257, USA",Arrowhead,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24491/jacksonville-kollel,2,No,No,No,Yes,FL,No
Aventura Chabad,"2801 NE 210th St, Aventura, FL 33180, USA",Aventura,Rabbi  Laivi Forta,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/4385/aventura-chabad,3,Yes,No,No,Yes,FL,No
Breslev Learning Center,"19088 NE 29th Ave, Aventura, FL 33180, USA",Aventura,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/22298/breslev-learning-center-,2,No,No,No,Yes,FL,No
Chabad At Waterways,"3585 NE 207th St, Aventura, FL 33180, USA",Aventura,,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/23471/chabad-at-waterways-,2,Yes,No,No,Yes,FL,No
Edmond J. Safra,"19275 Mystic Pointe Dr, Aventura, FL 33180, USA",Aventura,Rabbi  Yosef Galimidi,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7437/edmond-j.-safra,3,No,No,No,Yes,FL,No
Lev Tov Congregation,"3585 NE 207th St, Aventura, FL 33180, USA",Aventura,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/21680/lev-tov-congregation,2,No,No,No,Yes,FL,No
Lubavitch Aventura South,"18449 NE 28th Ct, Aventura, FL 33160, USA",Aventura,Rabbi  Mendel Rosenfeld,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/7001/lubavitch-aventura-south,3,Yes,No,No,Yes,FL,No
Willie & Celia Trump Synagogue Of Williams Island,"2000 W Island Blvd, Aventura, FL 33160, USA",Aventura,Rabbi  Jonathan Horowitz,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/3075/willie-&-celia-trump-synagogue-of-williams-island,3,No,No,No,Yes,FL,No
Young Israel Of Aventura,"3575 NE 207th St, Aventura, FL 33180, USA",Aventura,,Modern Orthodox,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/2853/young-israel-of-aventura,2,No,Yes,No,Yes,FL,No
Ahavas Torah,"424 W 40th St, Miami Beach, FL 33140, USA",Bayshore,Rabbi  H. Tzvi Neuhaus,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/4154/ahavas-torah,3,No,No,No,Yes,FL,No
Bais Menachem,"444 W 40th St, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Yehuda Leib Schapiro,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/16627/bais-menachem,3,No,No,No,Yes,FL,No
Beth Eliyahu Mani Sepharadic Shul,"4016 Royal Palm Ave, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Rafael Muratov,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/17390/beth-eliyahu-mani-sepharadic-shul,3,No,No,No,Yes,FL,No
Beth Israel Congregation,"770 W 40th St, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Donald Bixon,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/3421/beth-israel-congregation,3,No,No,No,Yes,FL,No
Congregation Beth-El At The Hebrew Academy,"2400 Pine Tree Dr, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Soloman Shiff,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/18100/congregation-beth-el-at-the-hebrew-academy,3,No,No,No,Yes,FL,No
Congregation Zichron Naftali,"3791 Royal Palm Ave, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Yisroel Janowski,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/10119/congregation-zichron-naftali,3,No,No,No,Yes,FL,No
Miami Beach Community Kollel,"3767 Chase Ave, Miami Beach, FL 33140, USA",Bayshore,Rabbi  Yaakov Gross,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/2072/miami-beach-community-kollel,3,No,No,No,Yes,FL,No
Chabad Of Bonita Springs & Estero,"24611 S Tamiami Trl, Bonita Springs, FL 34135, USA",Bonita Springs,Rabbi  Mendy Greenberg,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/20084/chabad-of-bonita-springs-&-estero,3,Yes,No,No,Yes,FL,No
Anshei Chesed Congregation,"10683 El Clair Ranch Rd, Boynton Beach, FL 33437, USA",Boynton Beach,Rabbi  Avi Billet,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/4092/anshei-chesed-congregation,3,No,No,No,Yes,FL,No
Chabad Jewish Center Of West Boynton,"9406 Boynton Beach Blvd, Boynton Beach, FL 33472, USA",Boynton Beach,,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24575/chabad-jewish-center-of-west-boynton,2,Yes,No,No,Yes,FL,No
Chabad-Lubavitch Of Greater Boynton Beach,"10655 El Clair Ranch Rd, Boynton Beach, FL 33437, USA",Boynton Beach,Rabbi  Sholom Ciment,Chabad,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/2125/chabad-lubavitch-of-greater-boynton-beach,3,Yes,No,No,Yes,FL,No
Netzach Yisroel,"10289 Isle Wynd Ct, Boynton Beach, FL 33437, USA",Boynton Beach,,Unknown,,,,,,,,,,,,,,Refresh page Refresh page Refresh page,https://www.godaven.com/shul-details/24432/netzach-yisroel,2,No,No,No,Yes,FL,No
