Name,Type,Area,Address,Phone,Cholov Yisroel,Pas Yisroel,Yoshon,Bishul Yisroel Tuna
17 Restaurant and Sushi Bar,Dairy,Miami Beach,1751 Alton Rd,305-672-0565,All Items,All Items,No,Yes
26 Sushi and wok,Meat,Surfside,9487 Harding Ave,305-570-2626,N/A,All Items,No,N/A
3 Scoops,Dairy,Hollywood,600 N Surf Rd,954-643-3104,Available,Available,No,N/A
41 Pizza & Bakery,Dairy,Miami Beach,451 W 41st Street,305-763-8711,All Items,Products Baked on Premises,No,Yes
Appetite Foods,"Catering, Take Out, Dairy, Meat",Hollywood,3420 W Hallandale Blvd,954-989-9480,All Items,No,No,N/A
Arnet Pharmaceutical Corp,Commercial,Broward County,2525 Davie Rd Bldg 330,954-236-9053,N/A,N/A,N/A,N/A
Asiatiko,Meat,Aventura,2906 NE 207th Street #101,786-786-0626,N/A,All Items,No,N/A
Assa,Dairy,North Miami Beach,992 NE 167th Street,786-899-1515,All Items,All Items,All Items,Yes
Au Bon Cake,Bakery,Miami Beach,,215-802-2253,N/A,All Items,N/A,N/A
Ayala Pastries,Bakery,Hollywood,6620 Custer Street,954-743-9106,N/A,All Items,All Items,N/A
Azumare,Meat,Aventura,3585 NE 207th Street - C3,754-703-0966,N/A,All Items,No,N/A
Bagel Time,Dairy,Miami Beach,3915 Alton Rd,305-538-0300,All Items,All Items,Available,Yes
Baguette Nir,Meat,Aventura,17871 Biscayne Blvd,(305) 614-4659,N/A,All Items,Available,N/A
Bambu Pan Asian Kitchen,Meat,North Miami Beach,3427 NE 163rd Street,305-974-4042,N/A,Except Fortune Cookies,No,N/A
BobaTbot,Dairy,Miami Beach,754 - 41Street,,All Items,All Items,No,N/A
Bone Appetit,"Meat, Commercial",North Miami Beach,,954-662-7828,N/A,Except Bread Crumbs,N/A,N/A
"Bourekas, Etc.","Pareve, Dairy, Meat",North Miami Beach,18671 W. Dixie Hwy,305-503-3838,All Items,All Items,No,N/A
Bubby's Fish N Chips,Dairy,North Miami Beach,1129 NE 163rd Street,305-709-1377,All Items,All Items,Pizza Only,Yes
Bunnie Cakes,"Commercial, Bakery",Other,2198 NW 21st Street,(786) 577-3243,No,No,No,N/A
Cakery By Miriam,Bakery,North Miami Beach,2180 1/2 NE 123rd Street,305-364-5873,N/A,All Items,No,N/A
Caramel Kosher,Dairy,Hollywood,1975 Stirling Rd Suite E,786-916-1169,No,No,No,N/A
Carnicery,"Butcher, Meat",Hollywood,,786-548-2935,N/A,N/A,N/A,N/A
Catch Market Miami,"Take Out, Misc, Pareve",North Miami Beach,2208 NE 123rd Street,304-467-0277,N/A,N/A,No,No
Chai Berry,Pareve,North Miami Beach,1688 NE 164th Street,(305) 749-6008,N/A,All Items,No,No
Chai Wok,Meat,North Miami Beach,1688 NE 164th Street,305-705-2110,N/A,"Except Fortune Cookies, Mu Shu Wraps & Bread Crumbs",No,N/A
Checked Romaine,Misc,Miami Beach,,305-872-6777,N/A,N/A,N/A,N/A
Chill-N Nitrogen Ice Cream Aventura location ONLY,Dairy,Aventura,17831 Biscayne Blvd,786-916-3313,No,No,No,N/A
China Beach - Wok On The Beach,Meat,Miami Beach,3919 Alton Road,305-534-3034,N/A,No,No,N/A
Cielito Artisan Pops,Dairy,Aventura,19501 Biscayne Blvd,305-676-2665,No,No,No,N/A
Cine Citta Cafe,Dairy,Surfside,9544 Harding Ave,305-866-8688,All Items,All Items,Available,Yes
Cookies and Cakes,"Commercial, Dairy",Miami,2248 West 77th Street,305-582-3818,No,N/A,N/A,N/A
Cuisine Art @ The Altair,"Meat, Dairy, Catering",Bal Harbour,9540 W Bay Harbor Dr,,All Items,All Items,No,No
Cupcakes,Pareve,North Miami Beach,1150 NE 185th Street,917-459-8494,N/A,All Items,No,No
Cupid Cheesecake,Dairy,Hollywood,1629 S 21st Ave,954-505-4644,No,All Items,N/A,N/A
Custom Hollywood,Misc,Broward County,5210 S University Dr #106,516-984-7860,N/A,No,No,N/A
Dan The Baking Man,Bakery,Aventura,7350 NE 2nd Ave #102,305-968-3015,N/A,N/A,N/A,N/A
Danzinger Kosher Catering,Catering,Miami Beach,4101 Pinetree Drive,786-953-4193,All Items,All Items,Available,Available
Deli Frozen,"Misc, Pareve",Aventura,,305-206-5044,N/A,N/A,N/A,N/A
Desserts by Carol Franco,"Pareve, Bakery",Aventura,,305-491-1115,N/A,All Items,No,N/A
Dipsanity,Take Out,North Miami Beach,,305-527-3684,N/A,N/A,N/A,N/A
Dixie BBQ,Meat,Aventura,18798 West Dixie Highway,,N/A,Except Wraps,No,N/A
Dixie BBQ 1,Meat,Hollywood,2790 Stirling Rd,954-367-5670,N/A,Except Wraps,No,N/A
Dolci Peccati Gelato,"Dairy, Pareve",Miami,274 NE 59th Street,954-632-8551,No,No,N/A,N/A
Dulceria Events,"Pareve, Bakery",Hollywood,250 N Dixie Highway #107,305-606-6821,N/A,All Items,No,N/A
Elsie's Cafe,Dairy,North Miami Beach,18900 NE 25th Ave,305-778-5946,No,No,No,No
Expressed Juice,Misc,Miami,1402 NW 23rd St.,1-800-793-8313,N/A,N/A,N/A,N/A
Feed Me,Meat,North Miami Beach,2530 NE Miami Gardens Dr,305-615-3404,N/A,All Items,All Items,N/A
Fialkoffs Express Surfside,Dairy,Surfside,9463 Harding Ave,305-397-8324,All Items,All Items,No,Yes
Fialkoffs Kosher Pizza - Miami Beach,Dairy,Miami Beach,544 Arthur Godfrey Rd,305-397-8395,All Items,Products Baked on Premises,No,Yes
Flame Mediterrean,Meat,Aventura,19010 NE 29th Ave,305-466-5656,N/A,All Items,No,No
Flavors Catering,Catering,North Miami Beach,,786-308-7014,No,All Items,No,No
Fleisch 41,Meat,Miami Beach,726-41st Street,305-397-8985,N/A,All Items,No,No
Foozo,Dairy,North Miami Beach,2520 NE Miami Gardens Dr,305-682-9692,All Items,All Items,Pizza Only,Yes
